Execution width height Astar BFS
1 14525 6883 68.781250 51.328125
2 12209 5891 31.500000 26.296877
3 2179 6059 2.781250 2.203125
4 3877 18333 36.921875 19.437500
5 8457 8331 35.812500 25.437500
6 3575 5587 19.156250 23.421877
7 4835 1533 1.953125 1.703125
8 10323 9147 36.546875 29.375000
9 5503 7871 29.578123 33.765625
10 4079 585 0.093750 0.031250
11 1665 2589 1.312500 1.046875
12 1937 2143 2.531250 2.031250
13 10499 4491 15.000000 11.109375
14 10189 1307 1.500000 1.125000
15 6735 1787 0.875000 0.578125
16 795 1011 0.062500 0.031250
17 8073 6305 7.218750 5.390625
18 877 3785 0.437500 0.312500
19 1907 3825 14.203125 4.171875
20 6733 5543 11.593750 9.453125
21 4619 1561 1.281250 1.000000
22 511 543 0.109375 0.062500
23 1967 1745 1.046875 0.796875
24 3411 2221 3.968750 3.125000
25 3213 2169 2.390625 1.921875
26 1707 2179 1.078125 0.859375
27 9453 1523 0.687500 0.343750
28 16455 3343 6.546875 4.546875
29 1505 3795 1.343750 1.031250
30 7791 7109 7.421875 5.656250
31 6437 7393 16.921877 10.328125
32 521 519 0.187500 0.140625
33 2525 4225 6.593750 15.656250
34 2447 3883 11.578125 10.890625
35 4065 7839 48.687500 64.296875
36 1409 1295 1.062500 0.890625
37 3955 8223 50.187500 95.765625
38 10583 15585 53.500000 42.281246
39 2687 1381 1.281250 1.015625
40 5877 14703 65.000000 155.875015
41 503 1549 0.062500 0.031250
42 2647 641 0.078125 0.031250
43 6669 767 0.187500 0.062500
44 10571 14721 115.578125 133.734375
45 1027 2339 0.718750 0.390625
46 4951 1539 1.218750 0.968750
47 5819 4571 9.750000 4.093750
48 1573 2053 0.468750 0.328125
49 13471 9511 23.750000 18.703123
50 11535 15769 170.765625 145.984375
51 3417 8537 1.906250 1.328125
52 8587 7277 6.234375 4.375000
53 1485 2131 0.421875 0.281250
54 1793 4421 1.375000 1.000000
55 2591 853 0.593750 0.250000
56 2987 8199 19.250000 45.953125
57 2047 3943 15.953125 4.921875
58 2861 7995 2.218750 1.515625
59 8071 725 0.375000 0.250000
60 4953 4289 12.500000 8.843750
61 8655 8489 71.531250 57.890625
62 12051 14419 118.750000 101.296875
63 2079 6387 12.953125 6.968750
64 10099 8871 19.406250 15.421875
65 6047 7169 15.734375 12.625000
66 533 593 0.109375 0.078125
67 3777 9431 47.375000 56.015625
68 1711 8019 5.984375 8.015625
69 8083 12301 123.375000 143.234375
70 3579 745 0.171875 0.125000
71 2255 3713 9.906250 11.515625
72 7119 16541 246.093750 323.281250
73 4791 1107 0.656250 0.500000
74 1699 7043 7.703125 16.296875
75 11349 5721 8.765625 5.062500
76 5793 12237 86.671875 83.562492
77 2209 14309 0.734375 0.296875
78 5499 5679 5.390625 4.187500
79 17409 10461 106.062492 87.437508
80 14053 9995 110.156250 92.515625
